Category,Capability,Company user — no active paid plan,Company user — active paid plan,Client-side user — no active paid plan,Client-side user — active paid plan,Subcontractor-side user — no active paid plan,Subcontractor-side user — active paid plan,Minimum plan / entitlement,Whose plan controls access,Role / capability requirement,Implementation note
Work capture,Log and edit expenses on an assigned project,Conditional — yes only as assigned provider,Conditional — yes only as assigned provider,No on the client side,No on the client side,Yes,Yes,None,Provider company,Provider-side active member; DRAFT/REJECTED only for edits,Implemented. Receipt upload arrives with storage/evidence.
Work capture,"Submit time, expenses, and project submissions",Conditional — yes only as provider,Conditional — yes only as provider,No on the client side,No on the client side,Yes,Yes,None,Provider company,Provider side; DRAFT → SUBMITTED,Implemented.
Work review,Approve or reject submitted provider work,Conditional — yes when client-side manager on an existing edge,Yes when client-side manager,Yes,Yes,No for the provider's own submission,No for the provider's own submission,None,Client/hiring company,OWNER/ADMIN/MANAGER; SUBMITTED status,Implemented. The reviewer's own paid plan is not currently required.
Work review,View work records on a direct engagement,Yes,Yes,Yes — direct edge,Yes — direct edge,Yes — direct edge,Yes — direct edge,None,None,Any active member; one-hop scope,Implemented. PAY/BILL visibility restrictions still apply.
Rates and commercial,"Create and manage role catalog, rate cards, and templates",No — intended,Yes — Starter+,No — intended for own catalog,Yes — Starter+ for own catalog,No — intended for own catalog,Yes — Starter+ for own catalog,rate_cards,Own company,OWNER/ADMIN/MANAGER for mutations,"Feature exists, but current rate CRUD routes are not feature-gated; enforcement gap."
Rates and commercial,Use holiday and custom label rate rules,No — intended,Yes — Starter+,No — intended,Yes — Starter+,No — intended,Yes — Starter+,holiday_rates,Own company,OWNER/ADMIN/MANAGER for configuration,Feature exists; confirm every configuration route is gated.
Rates and commercial,Read BILL rates and margin,Conditional — only on client/owner side,Conditional — only on client/owner side,Yes — for direct client-side work,Yes — for direct client-side work,No — PAY/BILL firewall,No — PAY/BILL firewall,None; security rule overrides plan,None,Client/owner company scope; manager for commercial mutations,Implemented security rule. A paid plan never lets a provider see the client's BILL rate or margin.
Rates and commercial,Download owner-side PDF/XLSX project export,No,Yes — Starter+,No for another provider's owner export,Yes only for own projects; client download is separate,No,Yes — Starter+ for own projects,exports,Project owner/provider company,Authorized owner-side user,Implemented owner export.
Rates and commercial,Create and manage invoices,No,Yes — Pro+,No unless invoicing for own company,Yes — Pro+ for own invoicing,No,Yes — Pro+,invoicing,Issuing company,invoice.manage / management role,Phase 6 planned.
Client experience,View published projects in the client portal,Conditional — yes if provider has Starter+,Conditional — own plan irrelevant; provider must have Starter+,Yes if provider has client_portal and project is visible,Yes under the same provider-controlled rule,N/A as provider on this edge,Provider can publish when Starter+,client_portal,Provider company,Client company must be direct edge endpoint,Implemented backend; Phase 5 experience.
Client experience,Write or resolve line-item notes,Conditional — provider must have Pro+; client commenting enabled,Conditional — own plan irrelevant when client; provider controls feature,Conditional — provider Pro+ and client_can_comment=true,Conditional — same; client paid plan does not override provider settings,No on Crew,Yes — Pro+; provider managers can annotate own work,client_portal_notes,Provider company,Not MEMBER; author owns body; either side may resolve,Implemented.
Client experience,View provider's client-visible audit trail,Conditional — provider must have Pro+ and enable trail,Conditional — own plan irrelevant when client,Conditional — provider Pro+ + show_audit_trail,Conditional — same provider-controlled rule,No on Crew,Yes — Pro+ can expose selected rows,audit_visibility + audit_retention_days,Provider company,Direct client edge; only client-visible audit rows,Implemented.
Evidence and documents,Upload project evidence and documents,Yes — upload-only is proposed for Crew,Yes — Starter+ full feature,No to provider project unless a future client-upload workflow is added,No to provider project unless explicitly enabled,Yes — upload-only on assigned work is proposed,Yes — Starter+ full feature,project_evidence / project_documents,Uploading/owning company,evidence.upload or document.upload,"Phase 7 planned; tier placement is proposed, not locked."
Evidence and documents,View client-visible evidence and documents,Conditional — provider feature + row visible,Conditional — own plan irrelevant when viewing provider records,Conditional — provider publishes the row,Conditional — same provider-controlled rule,Yes for own/assigned records,Yes for own/assigned records,project_evidence / project_documents,Provider/record owner,Direct edge and client_visible=true for clients,Phase 7 planned.
Field operations,"Manage site diary, locations, and document versions",No — upload-only at most,Yes — Starter+,No on provider project,Yes only for own projects with Starter+,No on Crew beyond proposed upload,Yes — Starter+,site_diary / project_documents,Own/authoring company,diary.write/close; document.manage,Phase 7 planned; packaging proposed.
Assets and materials,"Track assets, weights, movements, and destinations",No,Yes — Starter+,View only when provider publishes relevant output,View own projects with Starter+,No,Yes — Starter+ for own/assigned records,asset_tracking,Record owner/project company,asset.write / destination / weight capabilities,Phase 8 planned; packaging proposed.
Sustainability,Calculate project carbon and sustainability metrics,No,Yes — Pro+,View published results only,Yes for own projects on Pro+; provider controls shared report,No,Yes — Pro+ for own/assigned scope,sustainability + carbon_engine,Calculating/project owner company,sustainability.read/manage as applicable,Phase 9 planned; packaging proposed.
Reporting,Generate sustainability reports and evidence packs,No,Yes — Pro+,View/download only when provider publishes,Yes for own projects on Pro+; own plan does not unlock provider report,No,Yes — Pro+ for own projects,sustainability_reports + evidence_pack,Report owner/provider company,report.generate,Phase 10 planned; packaging proposed.
Operations,Create/manage variations and crew schedules,No,Yes — Starter+,Client may review/sign only when workflow exposes it,Yes for own projects on Starter+,No,Yes — Starter+ when operating own projects/downstream,variations + scheduling,Project owner company,variation and schedule capabilities,Phase 11 planned; packaging proposed.
Compliance,Track subcontractor compliance documents and alerts,No,Yes — Pro+,No without own Pro+ compliance workspace,Yes — Pro+ for providers hired by own company,No,Yes — Pro+ for own/downstream compliance,compliance_tracking,Hiring/project owner company,compliance.manage,Phase 12 planned; packaging proposed.
Reporting,Aggregate client reporting and use custom factor sets,No,Yes — Business+,View reports a provider publishes; own plan does not unlock provider data,Yes — Business+ for own client portfolio,No,Yes — Business+ for own client portfolio,client_reporting + custom_factors,Reporting company,report.generate / sustainability settings capabilities,Phase 12 planned; packaging proposed.
Platform,Use API access,No,Yes — Business+,No unless own company has Business+,Yes — Business+ for own company,No,Yes — Business+ for own company,api_access,Own company,Authorized integration credentials,Planned packaging; API productization not complete.
Platform,Use SSO and white labelling,No,Yes — Business+,No unless own company has Business+,Yes — Business+ for own company,No,Yes — Business+ for own company,sso + white_label,Own company,Company admin,Planned packaging.
Platform administration,"Manage all plans, prices, features, limits, companies, and overrides",No,No,No,No,No,No,isSuperAdmin — not a subscription entitlement,Platform,Platform super-admin only,Implemented/Phase 5 UI. No customer plan grants this.
